BS 0 has 20UE, T :253.548, rho : 0.978073
BS 1 has 32UE, T :1385.4, rho : 0.997744
BS 2 has 43UE, T :850.024, rho : 0.996718
BS 3 has 40UE, T :300.358, rho : 0.989231
BS 4 has 30UE, T :7.33924, rho : 0.666923
BS 5 has 41UE, T :31.1573, rho : 0.912162
BS 6 has 38UE, T :134.428, rho : 0.976957
BS 7 has 42UE, T :12729.4, rho : 0.999744
BS 8 has 42UE, T :112.59, rho : 0.971744
BS 9 has 33UE, T :11.9642, rho : 0.783538
BS 10 has 31UE, T :11.4735, rho : 0.767051
BS 11 has 37UE, T :155.121, rho : 0.979077
BS 12 has 37UE, T :156.167, rho : 0.980026
BS 13 has 33UE, T :251.442, rho : 0.987179
BS 14 has 38UE, T :370.79, rho : 0.990923
BS 15 has 37UE, T :3028.76, rho : 0.999
BS 16 has 35UE, T :102.373, rho : 0.968782
BS 17 has 37UE, T :111.613, rho : 0.97212
BS 18 has 32UE, T :95.0802, rho : 0.968205
BS 19 has 40UE, T :319.734, rho : 0.990769
BS 20 has 41UE, T :24.3043, rho : 0.895517
BS 21 has 41UE, T :245.491, rho : 0.987855
BS 22 has 33UE, T :7.87796, rho : 0.704282
BS 23 has 39UE, T :114.97, rho : 0.9735
BS 24 has 34UE, T :144.1, rho : 0.97859
BS 25 has 43UE, T :174.654, rho : 0.982568
BS 26 has 33UE, T :19.4736, rho : 0.857154
BS 27 has 37UE, T :1681.61, rho : 0.998051
BS 28 has 37UE, T :3.30175, rho : 0.553419
BS 29 has 25UE, T :3.33866, rho : 0.454487
BS 30 has 35UE, T :39.0193, rho : 0.925256
BS 31 has 33UE, T :33.3198, rho : 0.910462
BS 32 has 36UE, T :450.682, rho : 0.993231
BS 33 has 39UE, T :187.488, rho : 0.984
BS 34 has 34UE, T :160.314, rho : 0.980769
BS 35 has 38UE, T :287.605, rho : 0.989949
BS 36 has 39UE, T :367.731, rho : 0.991
BS 37 has 17UE, T :2.82773, rho : 0.365064
BS 38 has 42UE, T :31.6367, rho : 0.921308
BS 39 has 35UE, T :2796.15, rho : 0.998846
BS 40 has 40UE, T :114.523, rho : 0.974017
BS 41 has 38UE, T :96.3403, rho : 0.967051
BS 42 has 29UE, T :5.59732, rho : 0.601688
BS 43 has 38UE, T :123.427, rho : 0.975009
BS 44 has 34UE, T :218.404, rho : 0.985274
BS 45 has 19UE, T :2.58823, rho : 0.356615
BS 46 has 39UE, T :526.993, rho : 0.993667
BS 47 has 26UE, T :2.55112, rho : 0.393778
BS 48 has 45UE, T :1228.08, rho : 0.997692
BS 49 has 37UE, T :556.9, rho : 0.994573
BS 50 has 36UE, T :772.794, rho : 0.995692
BS 51 has 36UE, T :377.593, rho : 0.991846
BS 52 has 33UE, T :881.16, rho : 0.996346
BS 53 has 35UE, T :29.1002, rho : 0.894444
BS 54 has 46UE, T :336.615, rho : 0.990966
BS 55 has 42UE, T :724.176, rho : 0.995615
BS 56 has 37UE, T :59.1507, rho : 0.949192
BS 57 has 31UE, T :482.374, rho : 0.99359
BS 58 has 37UE, T :189.881, rho : 0.983346
BS 59 has 38UE, T :1161.39, rho : 0.997094
BS 60 has 46UE, T :26.6282, rho : 0.913906
BS 61 has 43UE, T :26.5869, rho : 0.904838
BS 62 has 36UE, T :105.9, rho : 0.969231
BS 63 has 36UE, T :247.905, rho : 0.987231
BS 64 has 33UE, T :5.41628, rho : 0.627846
BS 65 has 34UE, T :96.7761, rho : 0.966821
BS 66 has 34UE, T :87.7967, rho : 0.965658
BS 67 has 38UE, T :75.0414, rho : 0.960718
