BS 0 has 18UE, T :542.984, rho : 0.989502
BS 1 has 26UE, T :5.73857, rho : 0.605111
BS 2 has 28UE, T :9.12703, rho : 0.714479
BS 3 has 42UE, T :96.9818, rho : 0.970667
BS 4 has 21UE, T :3.95583, rho : 0.481115
BS 5 has 30UE, T :10.0169, rho : 0.739615
BS 6 has 39UE, T :157.118, rho : 0.979167
BS 7 has 40UE, T :159.524, rho : 0.981026
BS 8 has 43UE, T :10.5054, rho : 0.811855
BS 9 has 27UE, T :4.4413, rho : 0.540692
BS 10 has 25UE, T :3.01818, rho : 0.44359
BS 11 has 34UE, T :148.502, rho : 0.97859
BS 12 has 34UE, T :68.945, rho : 0.953744
BS 13 has 39UE, T :31.8248, rho : 0.907333
BS 14 has 41UE, T :2863.03, rho : 0.998893
BS 15 has 33UE, T :98.7281, rho : 0.966449
BS 16 has 34UE, T :1211.79, rho : 0.997333
BS 17 has 36UE, T :33.4247, rho : 0.906462
BS 18 has 33UE, T :108.984, rho : 0.970538
BS 19 has 29UE, T :4.35194, rho : 0.542697
BS 20 has 33UE, T :14.144, rho : 0.814
BS 21 has 34UE, T :21.265, rho : 0.867
BS 22 has 24UE, T :3.20353, rho : 0.452923
BS 23 has 40UE, T :52.7629, rho : 0.944786
BS 24 has 34UE, T :38.5096, rho : 0.919308
BS 25 has 26UE, T :2.35312, rho : 0.365333
BS 26 has 28UE, T :3.13974, rho : 0.469897
BS 27 has 37UE, T :7.22404, rho : 0.702526
BS 28 has 19UE, T :1.79279, rho : 0.276474
BS 29 has 11UE, T :1.32098, rho : 0.150897
BS 30 has 31UE, T :18.6539, rho : 0.844949
BS 31 has 28UE, T :4.45021, rho : 0.543128
BS 32 has 31UE, T :10.7601, rho : 0.750624
BS 33 has 33UE, T :96.1673, rho : 0.966449
BS 34 has 24UE, T :6.28884, rho : 0.628308
BS 35 has 37UE, T :60.3553, rho : 0.949192
BS 36 has 38UE, T :64.7909, rho : 0.952598
BS 37 has 15UE, T :1.26891, rho : 0.179872
BS 38 has 32UE, T :4.11111, rho : 0.546051
BS 39 has 32UE, T :21.82, rho : 0.858803
BS 40 has 36UE, T :205.347, rho : 0.983231
BS 41 has 34UE, T :7.90402, rho : 0.725915
BS 42 has 16UE, T :1.68057, rho : 0.24
BS 43 has 43UE, T :57.5512, rho : 0.958312
BS 44 has 30UE, T :9.06114, rho : 0.724615
BS 45 has 17UE, T :2.26115, rho : 0.313846
BS 46 has 30UE, T :3.54555, rho : 0.505769
BS 47 has 26UE, T :1.98993, rho : 0.361
BS 48 has 43UE, T :48.5896, rho : 0.944162
BS 49 has 31UE, T :12.8898, rho : 0.790368
BS 50 has 32UE, T :49.4644, rho : 0.935111
BS 51 has 28UE, T :4.36803, rho : 0.551145
BS 52 has 39UE, T :149.271, rho : 0.979
BS 53 has 36UE, T :9.64195, rho : 0.744615
BS 54 has 33UE, T :3.71922, rho : 0.536462
BS 55 has 40UE, T :699.262, rho : 0.994872
